wave_id,size,cross_floor,C,I,T,makespan
0,3,3,1.0114042647073516,0.3333333333333333,0.0,65.0
1,3,1,0.45056120886630463,1.0,0.0,76.0
2,7,5,1.0346012329101812,0.2,0.0,169.0
3,7,6,1.060944240790747,0.6666666666666666,0.0,170.0
4,3,3,1.0986122886681096,1.0,0.0,71.0
5,8,5,0.9840865030829147,0.2,0.0,164.0
6,6,6,1.0775563270668007,0.0,0.0,174.0
7,3,2,1.0114042647073516,0.0,0.0,66.0
8,4,2,0.9743147528693494,1.0,0.0,85.0
9,5,3,1.0549201679861442,1.0,0.0,109.0
10,6,3,0.7214636866925115,1.0,0.0,122.0
11,6,3,0.7214636866925115,1.0,0.0,118.0
12,7,4,1.0789922078775833,0.5,0.0,166.0
13,3,1,1.0114042647073518,1.0,0.0,62.0
14,4,3,0.9002560512685369,0.3333333333333333,0.0,94.0
15,8,5,1.0239287996389363,0.6,0.0,145.0
16,3,2,1.0114042647073516,1.0,0.0,66.0
17,8,3,0.9002560512685369,0.3333333333333333,0.0,136.0
18,7,4,0.8921178708188162,0.5,0.0,141.0
19,4,4,1.0821955300387673,0.5,0.0,104.0
20,3,2,1.0114042647073518,1.0,0.0,76.0
21,7,5,1.0346012329101812,1.0,0.0,165.0
22,8,5,0.9840865030829147,0.2,0.0,169.0
23,3,3,1.0114042647073516,0.3333333333333333,0.0,94.0
24,6,4,1.0281838593329258,0.5,0.0,132.0
25,7,6,1.060944240790747,0.0,0.0,204.0
26,8,5,1.0821955300387671,0.2,0.0,180.0
27,4,4,1.0821955300387671,0.5,0.0,104.0
28,3,2,1.0114042647073518,1.0,0.0,62.0
29,3,2,0.6365141682948128,1.0,0.0,85.0
30,4,3,0.9002560512685369,0.3333333333333333,0.0,104.0
31,7,6,1.0346012329101812,1.0,0.0,169.0
32,5,3,1.0296530140645737,0.3333333333333333,0.0,104.0
33,6,2,0.9596147939120492,0.0,0.0,99.0
34,7,6,1.034601232910181,0.3333333333333333,0.0,136.0
35,8,7,1.094780226007948,0.14285714285714285,0.0,193.0
36,6,4,0.8675632284814612,0.5,0.0,127.0
37,3,1,1.0114042647073518,1.0,0.0,57.0
38,3,3,0.6931471805599453,0.3333333333333333,0.0,94.0
39,8,5,0.9840865030829147,0.6,0.0,150.0
40,5,4,1.0296530140645737,0.0,0.0,118.0
41,6,6,1.0775563270668007,0.3333333333333333,0.0,155.0
42,7,4,1.0346012329101812,0.0,0.0,165.0
43,8,4,0.7774621319109288,0.0,0.0,131.0
44,3,2,0.6365141682948128,0.0,0.0,80.0
45,3,1,1.0114042647073518,1.0,0.0,72.0
46,8,5,0.7774621319109288,1.0,0.0,130.0
47,4,3,1.0821955300387673,1.0,0.0,85.0
48,4,2,1.0821955300387671,0.0,0.0,95.0
49,5,2,0.9433483923290393,0.0,0.0,123.0
50,5,4,1.0888999753452238,0.5,0.0,133.0
51,6,5,1.0775563270668007,0.2,0.0,127.0
52,6,4,1.0397207708399179,1.0,0.0,142.0
53,3,0,0.6365141682948128,0.0,0.0,62.0
54,3,2,0.8675632284814612,1.0,0.0,76.0
55,8,7,1.0717300941124526,0.14285714285714285,0.0,173.0
56,4,3,0.9002560512685369,1.0,0.0,75.0
57,7,4,0.8921178708188162,1.0,0.0,122.0
58,8,5,1.0397207708399179,0.6,0.0,155.0
59,3,3,1.0986122886681096,1.0,0.0,71.0
60,6,5,1.0397207708399179,0.2,0.0,136.0
61,8,7,1.094780226007948,0.42857142857142855,0.0,241.0
62,7,6,1.060944240790747,0.0,0.0,217.0
