cell,size,arm,policy,makespan
E2_c2|batched,4,random,P_fcfs,141.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,180.0
E2_c2|batched,4,random,P_fcfs,160.0
E2_c2|batched,4,random,P_fcfs,136.0
E2_c2|batched,4,random,P_fcfs,136.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,155.0
E2_c2|batched,4,random,P_fcfs,165.0
E2_c2|batched,4,random,P_fcfs,125.0
E2_c2|batched,4,random,P_fcfs,77.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,100.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,115.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,92.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,107.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,63.0
E2_c2|batched,4,random,P_fcfs,82.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,82.0
E2_c2|batched,4,random,P_fcfs,149.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,170.0
E2_c2|batched,4,random,P_fcfs,160.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,170.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,146.0
E2_c2|batched,4,random,P_fcfs,100.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,126.0
E2_c2|batched,4,random,P_fcfs,72.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,72.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,180.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,91.0
E2_c2|batched,4,random,P_fcfs,136.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,72.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,78.0
E2_c2|batched,4,random,P_fcfs,115.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,97.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,110.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,91.0
E2_c2|batched,4,random,P_fcfs,92.0
E2_c2|batched,4,random,P_fcfs,135.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,151.0
E2_c2|batched,4,random,P_fcfs,136.0
E2_c2|batched,4,random,P_fcfs,125.0
E2_c2|batched,4,random,P_fcfs,155.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,101.0
E2_c2|batched,4,random,P_fcfs,63.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,160.0
E2_c2|batched,4,random,P_fcfs,92.0
E2_c2|batched,4,random,P_fcfs,96.0
E2_c2|batched,4,random,P_fcfs,96.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,190.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,110.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,141.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,160.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,72.0
E2_c2|batched,4,random,P_fcfs,105.0
E2_c2|batched,4,random,P_fcfs,97.0
E2_c2|batched,4,random,P_fcfs,97.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,175.0
E2_c2|batched,4,random,P_fcfs,126.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,85.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,165.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,140.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,86.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,135.0
E2_c2|batched,4,random,P_fcfs,82.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,126.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,165.0
E2_c2|batched,4,random,P_fcfs,106.0
E2_c2|batched,4,random,P_fcfs,110.0
E2_c2|batched,4,random,P_fcfs,126.0
E2_c2|batched,4,random,P_fcfs,170.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,131.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,190.0
E2_c2|batched,4,random,P_fcfs,102.0
E2_c2|batched,4,random,P_fcfs,116.0
E2_c2|batched,4,random,P_fcfs,150.0
E2_c2|batched,4,random,P_fcfs,125.0
E2_c2|batched,4,random,P_fcfs,115.0
E2_c2|batched,4,random,P_fcfs,96.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,75.0
E2_c2|batched,4,random,P_fcfs,110.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,121.0
E2_c2|batched,4,random,P_fcfs,91.0
E2_c2|batched,4,random,P_fcfs,120.0
E2_c2|batched,4,random,P_fcfs,96.0
E2_c2|batched,4,random,P_fcfs,87.0
E2_c2|batched,4,random,P_fcfs,136.0
E2_c2|batched,4,random,P_fcfs,155.0
E2_c2|batched,4,random,P_fcfs,107.0
E2_c2|batched,4,random,P_fcfs,97.0
E2_c2|batched,4,random,P_fcfs,96.0
E2_c2|batched,4,random,P_fcfs,145.0
E2_c2|batched,4,random,P_fcfs,92.0
E2_c2|batched,4,random,P_fcfs,130.0
E2_c2|batched,4,random,P_fcfs,155.0
E2_c2|batched,4,random,P_fcfs,160.0
E2_c2|batched,4,random,P_fcfs,111.0
E2_c2|batched,4,random,P_fcfs,107.0
E2_c2|batched,4,random,P_fcfs,165.0
E2_c2|batched,4,random,P_fcfs,170.0
E2_c2|batched,4,random,P_fcfs,105.0
E2_c2|batched,4,random,P_fcfs,91.0
