config,capacities,total_cap,arm,makespan
homog_2-2-2,"[2, 2, 2]",6,random,82.0
homog_2-2-2,"[2, 2, 2]",6,random,136.0
homog_2-2-2,"[2, 2, 2]",6,random,126.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,141.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,156.0
homog_2-2-2,"[2, 2, 2]",6,random,140.0
homog_2-2-2,"[2, 2, 2]",6,random,120.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,114.0
homog_2-2-2,"[2, 2, 2]",6,random,72.0
homog_2-2-2,"[2, 2, 2]",6,random,111.0
homog_2-2-2,"[2, 2, 2]",6,random,199.0
homog_2-2-2,"[2, 2, 2]",6,random,111.0
homog_2-2-2,"[2, 2, 2]",6,random,141.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,121.0
homog_2-2-2,"[2, 2, 2]",6,random,100.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,121.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,82.0
homog_2-2-2,"[2, 2, 2]",6,random,87.0
homog_2-2-2,"[2, 2, 2]",6,random,121.0
homog_2-2-2,"[2, 2, 2]",6,random,91.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,102.0
homog_2-2-2,"[2, 2, 2]",6,random,77.0
homog_2-2-2,"[2, 2, 2]",6,random,111.0
homog_2-2-2,"[2, 2, 2]",6,random,159.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,160.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,126.0
homog_2-2-2,"[2, 2, 2]",6,random,119.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,77.0
homog_2-2-2,"[2, 2, 2]",6,random,102.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,121.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,100.0
homog_2-2-2,"[2, 2, 2]",6,random,126.0
homog_2-2-2,"[2, 2, 2]",6,random,130.0
homog_2-2-2,"[2, 2, 2]",6,random,115.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,86.0
homog_2-2-2,"[2, 2, 2]",6,random,150.0
homog_2-2-2,"[2, 2, 2]",6,random,140.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,155.0
homog_2-2-2,"[2, 2, 2]",6,random,126.0
homog_2-2-2,"[2, 2, 2]",6,random,111.0
homog_2-2-2,"[2, 2, 2]",6,random,140.0
homog_2-2-2,"[2, 2, 2]",6,random,141.0
homog_2-2-2,"[2, 2, 2]",6,random,124.0
homog_2-2-2,"[2, 2, 2]",6,random,126.0
homog_2-2-2,"[2, 2, 2]",6,random,131.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,91.0
homog_2-2-2,"[2, 2, 2]",6,random,97.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,97.0
homog_2-2-2,"[2, 2, 2]",6,random,111.0
homog_2-2-2,"[2, 2, 2]",6,random,96.0
homog_2-2-2,"[2, 2, 2]",6,random,136.0
homog_2-2-2,"[2, 2, 2]",6,random,190.0
homog_2-2-2,"[2, 2, 2]",6,random,97.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,92.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,107.0
homog_2-2-2,"[2, 2, 2]",6,random,106.0
homog_2-2-2,"[2, 2, 2]",6,random,131.0
homog_2-2-2,"[2, 2, 2]",6,random,120.0
homog_2-2-2,"[2, 2, 2]",6,random,140.0
homog_2-2-2,"[2, 2, 2]",6,random,145.0
homog_2-2-2,"[2, 2, 2]",6,random,145.0
homog_2-2-2,"[2, 2, 2]",6,random,141.0
homog_2-2-2,"[2, 2, 2]",6,random,101.0
homog_2-2-2,"[2, 2, 2]",6,random,92.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
homog_2-2-2,"[2, 2, 2]",6,random,96.0
homog_2-2-2,"[2, 2, 2]",6,random,135.0
homog_2-2-2,"[2, 2, 2]",6,random,116.0
