capacity,arm,m1,m2
2,random,165.0,208.0
2,random,97.0,110.0
2,random,77.0,121.0
2,random,77.0,125.0
2,random,97.0,174.0
2,random,145.0,218.0
2,random,106.0,183.0
2,random,111.0,139.0
2,random,110.0,178.0
2,random,145.0,144.0
2,random,111.0,153.0
2,random,106.0,174.0
2,random,131.0,188.0
2,random,106.0,154.0
2,random,87.0,145.0
2,random,96.0,125.0
2,random,116.0,174.0
2,random,101.0,125.0
2,random,117.0,136.0
2,random,82.0,135.0
2,random,91.0,144.0
2,random,77.0,120.0
2,random,111.0,165.0
2,random,111.0,143.0
2,random,101.0,145.0
2,random,96.0,213.0
2,random,101.0,106.0
2,random,92.0,106.0
2,random,106.0,154.0
2,random,131.0,155.0
2,random,106.0,159.0
2,random,111.0,173.0
2,random,101.0,189.0
2,random,131.0,174.0
2,random,116.0,150.0
2,random,92.0,159.0
2,random,72.0,126.0
2,random,112.0,158.0
2,random,116.0,145.0
2,random,121.0,179.0
2,random,126.0,159.0
2,random,130.0,193.0
2,random,121.0,189.0
2,random,96.0,126.0
2,random,135.0,198.0
2,random,140.0,178.0
2,random,106.0,159.0
2,random,111.0,143.0
2,random,141.0,218.0
2,random,126.0,159.0
2,random,131.0,188.0
2,random,111.0,154.0
2,random,91.0,149.0
2,random,111.0,185.0
2,random,101.0,150.0
2,random,96.0,145.0
2,random,92.0,160.0
2,random,120.0,155.0
2,random,99.0,144.0
2,random,150.0,164.0
2,random,106.0,217.0
2,random,160.0,228.0
2,random,121.0,169.0
2,random,111.0,154.0
2,random,126.0,144.0
2,random,106.0,130.0
2,random,140.0,164.0
2,random,145.0,193.0
2,random,136.0,150.0
2,random,111.0,193.0
2,random,97.0,100.0
2,random,102.0,141.0
2,random,130.0,179.0
2,random,120.0,140.0
2,random,100.0,144.0
2,random,115.0,179.0
2,random,125.0,164.0
2,random,110.0,159.0
2,random,131.0,184.0
2,random,96.0,150.0
2,random,116.0,179.0
2,random,126.0,198.0
2,random,96.0,124.0
2,random,77.0,135.0
2,random,101.0,140.0
2,random,125.0,150.0
2,random,126.0,135.0
2,random,140.0,174.0
2,random,111.0,179.0
2,random,135.0,178.0
2,random,95.0,154.0
2,random,112.0,161.0
2,random,111.0,164.0
2,random,102.0,96.0
2,random,131.0,174.0
2,random,120.0,183.0
2,random,135.0,188.0
2,random,102.0,153.0
2,random,140.0,213.0
2,random,101.0,135.0
2,random,101.0,204.0
2,random,82.0,124.0
2,random,105.0,175.0
2,random,102.0,125.0
2,random,107.0,122.0
2,random,110.0,149.0
2,random,92.0,155.0
2,random,77.0,126.0
2,random,115.0,164.0
2,random,106.0,173.0
2,random,95.0,149.0
2,random,106.0,115.0
2,random,131.0,139.0
2,random,135.0,148.0
2,random,53.0,62.0
2,random,77.0,111.0
2,random,106.0,150.0
2,random,111.0,173.0
2,random,106.0,150.0
2,random,102.0,189.0
2,random,126.0,209.0
2,random,120.0,165.0
2,random,150.0,179.0
2,random,72.0,125.0
2,random,135.0,198.0
2,random,92.0,116.0
2,random,116.0,174.0
2,random,97.0,179.0
2,random,140.0,179.0
2,random,126.0,130.0
2,random,121.0,168.0
2,random,102.0,174.0
2,random,92.0,145.0
2,random,131.0,159.0
2,random,91.0,174.0
2,random,116.0,165.0
2,random,101.0,130.0
2,random,111.0,194.0
2,random,116.0,165.0
2,random,116.0,169.0
2,random,111.0,164.0
2,random,136.0,169.0
2,random,126.0,155.0
2,random,110.0,135.0
2,random,97.0,144.0
2,random,101.0,126.0
2,random,131.0,169.0
2,random,73.0,91.0
2,random,116.0,158.0
2,random,100.0,158.0
2,random,126.0,198.0
2,random,101.0,169.0
2,random,102.0,145.0
2,random,106.0,154.0
2,random,150.0,183.0
2,random,116.0,189.0
2,random,87.0,100.0
2,random,116.0,150.0
2,random,116.0,170.0
2,random,116.0,173.0
2,random,82.0,126.0
2,random,106.0,189.0
2,random,105.0,154.0
2,random,140.0,140.0
2,random,141.0,228.0
2,random,107.0,141.0
2,random,87.0,135.0
2,random,87.0,140.0
2,random,111.0,150.0
2,random,96.0,96.0
2,random,106.0,173.0
2,random,111.0,204.0
2,random,101.0,173.0
2,random,126.0,164.0
