regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,random,130.0,178.0
E1_c2,abstraction,random,204.0,222.0
E1_c2,abstraction,random,200.0,245.0
E1_c2,abstraction,random,199.0,288.0
E1_c2,abstraction,random,180.0,229.0
E1_c2,abstraction,random,179.0,281.0
E1_c2,abstraction,random,194.0,284.0
E1_c2,abstraction,random,135.0,237.0
E1_c2,abstraction,random,164.0,253.0
E1_c2,abstraction,random,179.0,243.0
E1_c2,abstraction,random,129.0,195.0
E1_c2,abstraction,random,218.0,313.0
E1_c2,abstraction,random,179.0,214.0
E1_c2,abstraction,random,198.0,285.0
E1_c2,abstraction,random,233.0,318.0
E1_c2,abstraction,random,209.0,234.0
E1_c2,abstraction,random,163.0,225.0
E1_c2,abstraction,random,169.0,261.0
E1_c2,abstraction,random,174.0,235.0
E1_c2,abstraction,random,173.0,242.0
E1_c2,abstraction,random,179.0,214.0
E1_c2,abstraction,random,203.0,299.0
E1_c2,abstraction,random,183.0,284.0
E1_c2,abstraction,random,143.0,226.0
E1_c2,abstraction,random,208.0,305.0
E1_c2,abstraction,random,131.0,234.0
E1_c2,abstraction,random,169.0,239.0
E1_c2,abstraction,random,218.0,315.0
E1_c2,abstraction,random,145.0,158.0
E1_c2,abstraction,random,193.0,267.0
E1_c2,abstraction,random,223.0,317.0
E1_c2,abstraction,random,198.0,281.0
E1_c2,abstraction,random,248.0,266.0
E1_c2,abstraction,random,155.0,242.0
E1_c2,abstraction,random,184.0,281.0
E1_c2,abstraction,random,198.0,281.0
E1_c2,abstraction,random,189.0,252.0
E1_c2,abstraction,random,223.0,309.0
E1_c2,abstraction,random,169.0,224.0
E1_c2,abstraction,random,163.0,254.0
E1_c2,abstraction,random,169.0,227.0
E1_c2,abstraction,random,189.0,266.0
E1_c2,abstraction,random,159.0,255.0
E1_c2,abstraction,random,179.0,253.0
E1_c2,abstraction,random,125.0,186.0
E1_c2,abstraction,random,145.0,195.0
E1_c2,abstraction,random,168.0,239.0
E1_c2,abstraction,random,189.0,238.0
E1_c2,abstraction,random,187.0,274.0
E1_c2,abstraction,random,189.0,238.0
E1_c2,abstraction,random,170.0,209.0
E1_c2,abstraction,random,164.0,251.0
E1_c2,abstraction,random,159.0,238.0
E1_c2,abstraction,random,153.0,231.0
E1_c2,abstraction,random,165.0,238.0
E1_c2,abstraction,random,185.0,264.0
E1_c2,abstraction,random,213.0,265.0
E1_c2,abstraction,random,145.0,206.0
E1_c2,abstraction,random,189.0,283.0
E1_c2,abstraction,random,188.0,283.0
E1_c2,abstraction,random,184.0,233.0
E1_c2,abstraction,random,209.0,294.0
E1_c2,abstraction,random,184.0,257.0
E1_c2,abstraction,random,198.0,233.0
E1_c2,abstraction,random,135.0,184.0
E1_c2,abstraction,random,155.0,241.0
E1_c2,abstraction,random,179.0,255.0
E1_c2,abstraction,random,140.0,228.0
E1_c2,abstraction,random,139.0,203.0
E1_c2,abstraction,random,174.0,256.0
E1_c2,abstraction,random,162.0,252.0
E1_c2,abstraction,random,162.0,252.0
E1_c2,abstraction,random,164.0,257.0
E1_c2,abstraction,random,139.0,247.0
E1_c2,abstraction,random,193.0,198.0
E1_c2,abstraction,random,194.0,231.0
E1_c2,abstraction,random,189.0,278.0
E1_c2,abstraction,random,218.0,284.0
E1_c2,abstraction,random,120.0,131.0
E1_c2,abstraction,random,189.0,267.0
E1_c2,abstraction,random,179.0,257.0
E1_c2,abstraction,random,179.0,282.0
E1_c2,abstraction,random,169.0,278.0
E1_c2,abstraction,random,179.0,271.0
E1_c2,abstraction,random,125.0,189.0
E1_c2,abstraction,random,164.0,225.0
E1_c2,abstraction,random,203.0,255.0
E1_c2,abstraction,random,169.0,272.0
E1_c2,abstraction,random,198.0,275.0
E1_c2,abstraction,random,145.0,231.0
E1_c2,abstraction,random,174.0,256.0
E1_c2,abstraction,random,184.0,266.0
E1_c2,abstraction,random,213.0,264.0
E1_c2,abstraction,random,140.0,242.0
E1_c2,abstraction,random,228.0,308.0
E1_c2,abstraction,random,165.0,253.0
E1_c2,abstraction,random,169.0,194.0
E1_c2,abstraction,random,160.0,208.0
E1_c2,abstraction,random,179.0,206.0
E1_c2,abstraction,random,219.0,299.0
E1_c2,abstraction,random,214.0,255.0
E1_c2,abstraction,random,169.0,214.0
E1_c2,abstraction,random,170.0,290.0
E1_c2,abstraction,random,208.0,304.0
E1_c2,abstraction,random,145.0,240.0
E1_c2,abstraction,random,164.0,177.0
E1_c2,abstraction,random,149.0,254.0
E1_c2,abstraction,random,189.0,238.0
E1_c2,abstraction,random,208.0,277.0
E1_c2,abstraction,random,173.0,211.0
E1_c2,abstraction,random,208.0,260.0
E1_c2,abstraction,random,150.0,249.0
E1_c2,abstraction,random,139.0,228.0
E1_c2,abstraction,random,198.0,281.0
E1_c2,abstraction,random,179.0,285.0
