regime,model,size,policy,arm,favorable_corner,makespan
E1_c2,batched,6,fifo,random,HC_HI,244.0
E1_c2,batched,6,fifo,random,HC_HI,236.0
E1_c2,batched,6,fifo,random,HC_HI,223.0
E1_c2,batched,6,fifo,random,HC_HI,264.0
E1_c2,batched,6,fifo,random,HC_HI,180.0
E1_c2,batched,6,fifo,random,HC_HI,250.0
E1_c2,batched,6,fifo,random,HC_HI,293.0
E1_c2,batched,6,fifo,random,HC_HI,225.0
E1_c2,batched,6,fifo,random,HC_HI,225.0
E1_c2,batched,6,fifo,random,HC_HI,226.0
E1_c2,batched,6,fifo,random,HC_HI,237.0
E1_c2,batched,6,fifo,random,HC_HI,284.0
E1_c2,batched,6,fifo,random,HC_HI,245.0
E1_c2,batched,6,fifo,random,HC_HI,230.0
E1_c2,batched,6,fifo,random,HC_HI,138.0
E1_c2,batched,6,fifo,random,HC_HI,249.0
E1_c2,batched,6,fifo,random,HC_HI,196.0
E1_c2,batched,6,fifo,random,HC_HI,249.0
E1_c2,batched,6,fifo,random,HC_HI,251.0
E1_c2,batched,6,fifo,random,HC_HI,268.0
E1_c2,batched,6,fifo,favorable,HC_HI,273.0
E1_c2,batched,6,fifo,favorable,HC_HI,219.0
E1_c2,batched,6,fifo,favorable,HC_HI,211.0
E1_c2,batched,6,fifo,favorable,HC_HI,244.0
E1_c2,batched,6,fifo,favorable,HC_HI,259.0
E1_c2,batched,6,fifo,favorable,HC_HI,245.0
E1_c2,batched,6,fifo,favorable,HC_HI,205.0
E1_c2,batched,6,fifo,favorable,HC_HI,231.0
E1_c2,batched,6,fifo,favorable,HC_HI,245.0
E1_c2,batched,6,fifo,favorable,HC_HI,235.0
E1_c2,batched,6,fifo,favorable,HC_HI,270.0
E1_c2,batched,6,fifo,favorable,HC_HI,173.0
E1_c2,batched,6,fifo,favorable,HC_HI,274.0
E1_c2,batched,6,fifo,favorable,HC_HI,240.0
E1_c2,batched,6,fifo,favorable,HC_HI,254.0
E1_c2,batched,6,fifo,favorable,HC_HI,220.0
E1_c2,batched,6,fifo,favorable,HC_HI,255.0
E1_c2,batched,6,fifo,favorable,HC_HI,263.0
E1_c2,batched,6,fifo,favorable,HC_HI,240.0
E1_c2,batched,6,fifo,favorable,HC_HI,303.0
E1_c2,batched,6,cluster,random,HC_HI,274.0
E1_c2,batched,6,cluster,random,HC_HI,230.0
E1_c2,batched,6,cluster,random,HC_HI,231.0
E1_c2,batched,6,cluster,random,HC_HI,207.0
E1_c2,batched,6,cluster,random,HC_HI,235.0
E1_c2,batched,6,cluster,random,HC_HI,226.0
E1_c2,batched,6,cluster,random,HC_HI,268.0
E1_c2,batched,6,cluster,random,HC_HI,211.0
E1_c2,batched,6,cluster,random,HC_HI,200.0
E1_c2,batched,6,cluster,random,HC_HI,289.0
E1_c2,batched,6,cluster,random,HC_HI,264.0
E1_c2,batched,6,cluster,random,HC_HI,254.0
E1_c2,batched,6,cluster,random,HC_HI,201.0
E1_c2,batched,6,cluster,random,HC_HI,235.0
E1_c2,batched,6,cluster,random,HC_HI,229.0
E1_c2,batched,6,cluster,random,HC_HI,265.0
E1_c2,batched,6,cluster,random,HC_HI,274.0
E1_c2,batched,6,cluster,random,HC_HI,245.0
E1_c2,batched,6,cluster,random,HC_HI,201.0
E1_c2,batched,6,cluster,random,HC_HI,293.0
E1_c2,batched,6,cluster,favorable,HC_HI,186.0
E1_c2,batched,6,cluster,favorable,HC_HI,231.0
E1_c2,batched,6,cluster,favorable,HC_HI,254.0
E1_c2,batched,6,cluster,favorable,HC_HI,176.0
E1_c2,batched,6,cluster,favorable,HC_HI,259.0
E1_c2,batched,6,cluster,favorable,HC_HI,249.0
E1_c2,batched,6,cluster,favorable,HC_HI,260.0
E1_c2,batched,6,cluster,favorable,HC_HI,220.0
E1_c2,batched,6,cluster,favorable,HC_HI,299.0
E1_c2,batched,6,cluster,favorable,HC_HI,240.0
E1_c2,batched,6,cluster,favorable,HC_HI,227.0
E1_c2,batched,6,cluster,favorable,HC_HI,259.0
E1_c2,batched,6,cluster,favorable,HC_HI,187.0
E1_c2,batched,6,cluster,favorable,HC_HI,239.0
E1_c2,batched,6,cluster,favorable,HC_HI,229.0
E1_c2,batched,6,cluster,favorable,HC_HI,234.0
E1_c2,batched,6,cluster,favorable,HC_HI,264.0
E1_c2,batched,6,cluster,favorable,HC_HI,294.0
E1_c2,batched,6,cluster,favorable,HC_HI,205.0
E1_c2,batched,6,cluster,favorable,HC_HI,221.0
E2_c2,batched,6,fifo,random,LC_HI,149.0
E2_c2,batched,6,fifo,random,LC_HI,120.0
E2_c2,batched,6,fifo,random,LC_HI,169.0
E2_c2,batched,6,fifo,random,LC_HI,174.0
E2_c2,batched,6,fifo,random,LC_HI,131.0
E2_c2,batched,6,fifo,random,LC_HI,184.0
E2_c2,batched,6,fifo,random,LC_HI,174.0
E2_c2,batched,6,fifo,random,LC_HI,188.0
E2_c2,batched,6,fifo,random,LC_HI,115.0
E2_c2,batched,6,fifo,random,LC_HI,150.0
E2_c2,batched,6,fifo,random,LC_HI,148.0
E2_c2,batched,6,fifo,random,LC_HI,121.0
E2_c2,batched,6,fifo,random,LC_HI,150.0
E2_c2,batched,6,fifo,random,LC_HI,163.0
E2_c2,batched,6,fifo,random,LC_HI,160.0
E2_c2,batched,6,fifo,random,LC_HI,150.0
E2_c2,batched,6,fifo,random,LC_HI,204.0
E2_c2,batched,6,fifo,random,LC_HI,149.0
E2_c2,batched,6,fifo,random,LC_HI,169.0
E2_c2,batched,6,fifo,random,LC_HI,184.0
E2_c2,batched,6,fifo,favorable,LC_HI,179.0
E2_c2,batched,6,fifo,favorable,LC_HI,154.0
E2_c2,batched,6,fifo,favorable,LC_HI,154.0
E2_c2,batched,6,fifo,favorable,LC_HI,155.0
E2_c2,batched,6,fifo,favorable,LC_HI,164.0
E2_c2,batched,6,fifo,favorable,LC_HI,150.0
E2_c2,batched,6,fifo,favorable,LC_HI,164.0
E2_c2,batched,6,fifo,favorable,LC_HI,168.0
