regime,model,size,policy,arm,favorable_corner,makespan,stagger_cv
E1_c2,abstraction,4,fifo,random,HC_HI,126.87284777221126,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,90.84970701096,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,126.47036864040136,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,123.24461794135604,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,82.51627258082216,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.76608353568545,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.96853960201196,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.67138219115634,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,74.11039116712534,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,125.47500238960706,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,190.49670726139016,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,150.51819694870193,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,109.5848924455301,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,96.73940430131117,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.1323438623304,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,96.90572115222238,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,122.24525520082503,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,102.57259717074639,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.36198994616933,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,93.83996477361181,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,83.94109677750504,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.74157276642917,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.51480171436847,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.09405511260732,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,136.74827932146854,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.36479774110387,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.82205935547161,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.41293901958346,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.4472646818491,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,170.76879982911936,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,151.05165617942225,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.48540739059,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.71547668897645,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.74382763394513,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,107.67581568301203,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,86.6203584433895,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,94.17272750245223,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,102.3370457699222,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.88003829388911,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.99957635550453,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,96.79945090432338,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.43733530553898,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,151.3508626582862,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.19390166800727,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,140.61591727294166,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.3968195424795,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,155.51844154987236,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,130.77083736486878,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,110.7282145818355,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.5515295952672,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,53.160558689837146,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,161.00768390430764,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,170.89396308652573,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.39641742397913,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,77.75702747519414,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.1131578144686,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,108.19397421694998,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,106.60548982458477,0.5
