regime,size,arm,wave_id,makespan_M1,makespan_M2,makespan_M3_s10,makespan_M3_s20
E1_c2,6,random,0,148.0,235.0,239.95343864775896,222.3752326421558
E1_c2,6,random,1,194.0,231.0,234.32756861189492,215.73423964032574
E1_c2,6,random,2,179.0,240.0,237.92218403573443,253.1953402252381
E1_c2,6,random,3,174.0,206.0,201.95944709137183,202.61244889326326
E1_c2,6,random,4,170.0,216.0,223.430559676669,207.17719424405928
E1_c2,6,random,5,179.0,245.0,246.63081342384777,240.73791159638841
E1_c2,6,random,6,218.0,263.0,271.107022885486,244.4650829739679
E1_c2,6,random,7,154.0,216.0,218.21845687241355,191.5716255251699
E1_c2,6,random,8,179.0,264.0,260.1952735255296,246.49280638891494
E1_c2,6,random,9,164.0,255.0,246.36612185522276,266.98857120155503
E1_c2,6,random,10,168.0,191.0,186.89567173146276,193.63747207679756
E1_c2,6,random,11,208.0,274.0,276.64087997472103,267.0924706143225
E1_c2,6,random,12,209.0,222.0,220.73450961582918,235.91006780275313
E1_c2,6,random,13,199.0,251.0,257.35794016514456,247.83154715897885
E1_c2,6,random,14,204.0,275.0,270.5050821906627,275.7300164653712
E1_c2,6,random,15,178.0,254.0,247.31902506938533,251.69006677963253
E1_c2,6,random,16,140.0,191.0,191.3726049920687,193.8548791819491
E1_c2,6,random,17,159.0,201.0,202.21332262177972,216.57765260578637
E1_c2,6,random,18,173.0,244.0,236.01994131457977,246.74234467233552
E1_c2,6,random,19,145.0,221.0,217.210793273676,214.3943520866016
E1_c2,6,random,20,169.0,220.0,215.8169097939428,212.715290998725
E1_c2,6,random,21,253.0,298.0,308.0333508909583,267.7250876512781
E1_c2,6,random,22,159.0,225.0,229.0969677167788,223.24991088451995
E1_c2,6,random,23,194.0,222.0,216.64581392180213,215.41445728604347
E1_c2,6,random,24,158.0,236.0,238.50049539446104,230.55375542376845
E1_c2,6,random,25,159.0,249.0,247.4154554845094,255.04343805741914
E1_c2,6,random,26,223.0,273.0,273.37360332064026,264.83020859095393
E1_c2,6,random,27,169.0,217.0,227.76553239109614,212.80706338164052
E1_c2,6,random,28,159.0,245.0,229.78385380914423,238.24583286704052
E1_c2,6,random,29,145.0,211.0,217.3320733744892,221.56374245633106
E1_c2,6,random,30,125.0,178.0,174.15872065820395,182.17309002149912
E1_c2,6,random,31,165.0,220.0,220.01189017924744,222.74797151595763
E1_c2,6,random,32,110.0,152.0,150.42786237723803,158.00488742070212
E1_c2,6,random,33,129.0,162.0,163.91339934177637,164.2270440084787
E1_c2,6,random,34,148.0,210.0,212.7835677012654,217.14895208520795
E1_c2,6,random,35,233.0,293.0,296.697668264039,286.6567219952274
E1_c2,6,random,36,187.0,263.0,258.6796349358361,260.51741602715623
E1_c2,6,random,37,199.0,284.0,292.3510465891593,277.60371104963446
E1_c2,6,random,38,184.0,255.0,260.7375055442725,276.2407452784212
E1_c2,6,random,39,155.0,207.0,212.03147025651742,194.19103940271197
E1_c2,6,random,40,159.0,201.0,209.18802246033363,206.43985240417842
E1_c2,6,random,41,184.0,265.0,263.7066983216203,255.49884547143384
E1_c2,6,random,42,160.0,231.0,228.59489644132174,236.18983047949604
E1_c2,6,random,43,155.0,221.0,223.13338358798833,205.97811025079227
E1_c2,6,random,44,204.0,230.0,230.9873989356549,230.3837956905075
E1_c2,6,random,45,174.0,259.0,252.9772407765768,251.82887193677664
E1_c2,6,random,46,178.0,244.0,248.43036672946818,244.88490589088678
E1_c2,6,random,47,135.0,153.0,147.85545057926683,157.08683563778698
E1_c2,6,random,48,188.0,273.0,263.0510206057024,270.51132390138514
E1_c2,6,random,49,130.0,211.0,215.56613200213442,219.00194906360676
E1_c2,6,random,50,164.0,259.0,260.8204024827447,259.4830320262886
E1_c2,6,random,51,179.0,219.0,220.14479357217772,210.8842142062933
E1_c2,6,random,52,135.0,173.0,175.5477159577921,172.62568732418774
E1_c2,6,random,53,214.0,255.0,249.29217252736018,272.7341120912811
E1_c2,6,random,54,150.0,220.0,226.06480763511394,231.59084800890278
E1_c2,6,random,55,165.0,256.0,251.75582184601967,260.2430835014428
E1_c2,6,random,56,179.0,225.0,218.13880002780596,230.6792927507327
E1_c2,6,random,57,160.0,226.0,230.43243035314535,222.17275057797568
E1_c2,6,random,58,149.0,245.0,246.01379958190134,233.1153216094498
E1_c2,6,random,59,209.0,299.0,290.8499693866394,298.6968049909869
E1_c2,6,random,60,213.0,274.0,273.629316791016,269.21664756764335
E1_c2,6,random,61,135.0,241.0,251.33059313057646,257.04079439462055
E1_c2,6,random,62,159.0,230.0,224.18913860103834,238.52660532314283
E1_c2,6,random,63,175.0,222.0,227.71466049314884,207.7618540102429
E1_c2,6,random,64,125.0,186.0,186.82107618644662,192.20868541489745
E1_c2,6,random,65,213.0,255.0,261.21453954911675,265.06576793874217
E1_c2,6,random,66,159.0,279.0,276.9182693465601,280.83812692515374
E1_c2,6,random,67,140.0,197.0,191.62191789382646,179.91443488919109
E1_c2,6,random,68,187.0,274.0,263.086747412129,264.630893200693
E1_c2,6,random,69,169.0,264.0,263.6970099360028,261.1244011197604
E1_c2,6,random,70,164.0,225.0,227.4112898477888,228.75912787414077
E1_c2,6,random,71,139.0,222.0,237.77486648272014,205.3865725211894
E1_c2,6,random,72,188.0,264.0,260.03200428503493,280.5143517959756
E1_c2,6,random,73,184.0,217.0,219.05989433548388,222.23855385153516
E1_c2,6,random,74,204.0,201.0,204.13916059706315,215.00679041012464
E1_c2,6,random,75,198.0,244.0,246.37199516327235,233.01090192398715
E1_c2,6,random,76,228.0,313.0,300.81489145716233,330.90176443161107
E1_c2,6,random,77,183.0,224.0,223.86241538429894,231.44579923736146
E1_c2,6,random,78,204.0,236.0,239.58221126042932,238.98214981814044
E1_c2,6,random,79,135.0,217.0,211.91450452919977,200.0365897637738
E1_c2,6,random,80,203.0,239.0,237.97919374536684,237.23364138584543
E1_c2,6,random,81,178.0,239.0,238.20153575354792,226.2276692552033
E1_c2,6,random,82,197.0,244.0,246.34910469023143,237.40516464211632
E1_c2,6,random,83,149.0,220.0,223.09292530033213,247.26355979246406
E1_c2,6,random,84,189.0,206.0,211.19824239922315,202.14731675253378
E1_c2,6,random,85,189.0,284.0,284.83533962008977,276.65269584362676
E1_c2,6,random,86,130.0,201.0,200.61864611116948,222.4112441323716
E1_c2,6,random,87,208.0,263.0,256.18703600709637,273.2816138455695
E1_c2,6,random,88,199.0,227.0,227.7796696303476,238.5928470264183
E1_c2,6,random,89,155.0,197.0,199.19728082365455,221.2707855361051
E1_c2,6,random,90,170.0,270.0,272.41744954230114,268.92640571201764
E1_c2,6,random,91,200.0,237.0,237.87518194797244,250.86176927979372
E1_c2,6,random,92,179.0,269.0,269.1088175726214,278.2413192247274
E1_c2,6,random,93,194.0,284.0,286.42560581948516,265.2622522948268
E1_c2,6,random,94,131.0,183.0,188.6566603811556,178.6160553888215
E1_c2,6,random,95,178.0,250.0,252.72240314903692,252.0615645562448
E1_c2,6,random,96,179.0,202.0,203.9877927443031,204.0689187385636
E1_c2,6,random,97,179.0,172.0,168.5072301881817,183.94922742671315
E1_c2,6,random,98,125.0,201.0,207.79337866421804,200.38800904231192
E1_c2,6,random,99,208.0,274.0,277.78954863896683,296.0067350796083
E1_c2,6,random,100,150.0,191.0,184.62354659097565,187.17176454320168
E1_c2,6,random,101,189.0,221.0,225.51148209362145,214.14158880041182
E1_c2,6,random,102,178.0,239.0,234.3297221369721,239.45869533310952
E1_c2,6,random,103,173.0,211.0,221.3019941681662,229.593006828059
E1_c2,6,random,104,194.0,274.0,273.5538342368855,287.3797113265558
E1_c2,6,random,105,208.0,274.0,268.8528489222652,289.4587302637704
E1_c2,6,random,106,153.0,231.0,230.93052285264125,228.35974386445838
E1_c2,6,random,107,188.0,269.0,266.9354161535627,257.02149460759574
E1_c2,6,random,108,136.0,198.0,192.94979689777654,185.4125987284574
E1_c2,6,random,109,154.0,216.0,217.11407005954518,199.27505752371596
E1_c2,6,random,110,198.0,245.0,244.93657263142373,247.18617403140647
E1_c2,6,random,111,179.0,259.0,271.05267445061224,246.22680174542697
E1_c2,6,random,112,160.0,207.0,205.28590817469558,198.6866633981042
E1_c2,6,random,113,189.0,245.0,246.0464557174643,232.4380909735897
E1_c2,6,random,114,178.0,258.0,270.60371474961295,266.85286085583954
E1_c2,6,random,115,179.0,226.0,224.8493622702085,238.77706018398814
E1_c2,6,random,116,198.0,274.0,260.1521989558795,279.7632840965817
E1_c2,6,random,117,183.0,244.0,243.57781162843958,254.5311524781047
E1_c2,6,random,118,179.0,270.0,266.2942172488309,251.14138611177677
E1_c2,6,random,119,223.0,273.0,275.41257290130363,277.956425086661
E1_c2,6,random,120,169.0,231.0,216.4170248536418,226.14350284237688
E1_c2,6,random,121,183.0,264.0,258.53712713321,261.641737087316
E1_c2,6,random,122,164.0,256.0,252.57170547498424,273.6707550482319
E1_c2,6,random,123,184.0,244.0,244.28117630391674,237.80482288869703
E1_c2,6,random,124,179.0,270.0,274.22590289253685,274.65066082507593
E1_c2,6,random,125,227.0,303.0,303.3267412090549,308.5215192139088
E1_c2,6,random,126,163.0,244.0,241.46447152410778,239.78249048296698
E1_c2,6,random,127,174.0,221.0,215.84930282464722,220.71066876774438
E1_c2,6,random,128,155.0,251.0,243.84945866242265,240.78573902207526
E1_c2,6,random,129,193.0,225.0,236.5570829393098,218.60868667374137
E1_c2,6,random,130,193.0,244.0,243.83908365481088,237.30163493398882
E1_c2,6,random,131,179.0,225.0,230.2042498974285,228.73440663751464
E1_c2,6,random,132,128.0,225.0,233.5475363312521,227.62600354529621
E1_c2,6,random,133,183.0,254.0,257.9084176708818,255.53496739696655
E1_c2,6,random,134,150.0,182.0,183.6740599736681,191.56566481784876
E1_c2,6,random,135,187.0,274.0,262.3613161420309,271.24937929383805
E1_c2,6,random,136,165.0,222.0,215.20040494181376,239.12594297523148
E1_c2,6,random,137,203.0,240.0,235.79118607061324,247.02774306713755
E1_c2,6,random,138,153.0,195.0,198.6466032865416,212.96811131908424
E1_c2,6,random,139,144.0,177.0,186.5972155603097,175.54465482685913
E1_c2,6,random,140,168.0,255.0,262.2327642461501,273.29376472586625
E1_c2,6,random,141,203.0,298.0,292.4156565576895,287.27555441317133
E1_c2,6,random,142,193.0,235.0,246.16176521144365,239.14282632879187
E1_c2,6,random,143,164.0,219.0,212.210236807566,223.30008310936202
E1_c2,6,random,144,125.0,188.0,194.28231967912126,179.78784298451168
E1_c2,6,random,145,158.0,223.0,227.92242276256047,197.78270774699376
E1_c2,6,random,146,144.0,255.0,250.92973894935804,259.1264899805708
E1_c2,6,random,147,193.0,230.0,230.97717801826488,213.6758206428322
E1_c2,6,random,148,149.0,217.0,208.61869379873747,224.5447749763426
E1_c2,6,random,149,189.0,182.0,178.5539848058692,192.76063271334166
E1_c2,6,random,150,174.0,212.0,212.89462018325003,199.44966349585548
E1_c2,6,random,151,185.0,246.0,245.17691630856075,247.6529198021993
E1_c2,6,random,152,209.0,289.0,285.19806211882457,296.8789547644655
E1_c2,6,random,153,140.0,205.0,201.2937941873953,192.51961339102078
E1_c2,6,random,154,144.0,197.0,190.19938687229026,197.59160517892
E1_c2,6,random,155,180.0,270.0,261.9235906897492,248.93020832307988
E1_c2,6,random,156,160.0,236.0,236.55878496436256,255.14955990082444
E1_c2,6,random,157,189.0,265.0,264.84157005818804,277.60752671395045
E1_c2,6,random,158,218.0,254.0,255.0852951631356,247.11617975850336
E1_c2,6,random,159,165.0,192.0,195.42025613978066,183.59322146204136
E1_c2,6,random,160,145.0,236.0,235.23328750084033,229.69887146080845
E1_c2,6,random,161,213.0,245.0,240.80424159399848,244.62189226605867
E1_c2,6,random,162,174.0,229.0,233.7662745114075,222.91685596878295
E1_c2,6,random,163,134.0,187.0,184.34332910223125,198.35963037537869
E1_c2,6,random,164,183.0,263.0,263.14288919240744,275.99378597782504
E1_c2,6,random,165,164.0,265.0,265.938448539195,273.025139740183
E1_c2,6,random,166,188.0,215.0,215.04149603684195,190.48736645864668
E1_c2,6,random,167,174.0,270.0,273.2880529604373,268.07728222361266
E1_c2,6,random,168,121.0,207.0,212.15849803111647,209.03256524975794
E1_c2,6,random,169,169.0,259.0,259.7675951843515,248.47171789733594
E1_c2,6,random,170,144.0,206.0,204.8216823206977,205.8444956854293
E1_c2,6,random,171,174.0,188.0,179.35133414994118,185.16335709983696
E1_c2,6,random,172,209.0,270.0,267.28151780491834,245.2421889791161
E1_c2,6,random,173,169.0,235.0,236.04594081249135,220.6907048075097
E1_c2,6,random,174,173.0,195.0,189.52031615148212,197.705479937725
E1_c2,6,random,175,169.0,231.0,217.4770148714013,222.45156383891768
E1_c2,6,random,176,199.0,236.0,237.3635825030422,232.50118398493893
E1_c2,6,random,177,193.0,274.0,271.6346832385682,286.0174321569982
E1_c2,6,random,178,218.0,303.0,296.41533284118145,300.736857319897
E1_c2,6,random,179,174.0,216.0,218.4838945734585,221.9318499282924
E1_c2,6,random,180,145.0,211.0,203.7221588884346,204.70315377534718
E1_c2,6,random,181,130.0,201.0,195.96868981689937,200.367458987741
E1_c2,6,random,182,198.0,274.0,276.863615103085,279.094173202721
E1_c2,6,random,183,208.0,293.0,282.26216245232627,287.2805614936733
E1_c2,6,random,184,218.0,269.0,260.1584148068463,272.45539808251834
E1_c2,6,random,185,175.0,266.0,267.35523348417433,258.7628680456303
E1_c2,6,random,186,150.0,251.0,249.499297491435,254.05499386131268
E1_c2,6,random,187,204.0,245.0,246.71717434802883,237.38354762065637
E1_c2,6,random,188,169.0,235.0,246.4497219888342,233.4492878696685
E1_c2,6,random,189,154.0,172.0,167.38260798496347,170.7442365363317
E1_c2,6,random,190,139.0,217.0,220.68363440629597,201.16555200818257
E1_c2,6,random,191,158.0,236.0,239.22552710428414,236.53941280378157
E1_c2,6,random,192,183.0,254.0,256.7010007594724,260.55760450537747
E1_c2,6,random,193,145.0,197.0,197.23908607319936,200.36943675308834
E1_c2,6,random,194,189.0,244.0,252.4020529302943,247.2119568053401
E1_c2,6,random,195,198.0,254.0,253.09882058708675,259.18386885156383
E1_c2,6,random,196,165.0,251.0,244.83170530623363,237.7474088328881
E1_c2,6,random,197,198.0,270.0,272.7297790483711,262.41810516899835
E1_c2,6,random,198,140.0,197.0,200.76745175474917,214.10107193070831
