config_id,F,n_amrs,n_elevators,demand,size,arm,wave_id,makespan_M1,makespan_M2,makespan_M3_s20
1,3,5,2,uniform,16,random,0,146.0,184.0,197.0735430265287
1,3,5,2,uniform,16,random,1,162.0,223.0,255.14139654527085
1,3,5,2,uniform,16,random,2,95.0,163.0,174.60634585479426
1,3,5,2,uniform,16,random,3,110.0,204.0,196.04802883621525
1,3,5,2,uniform,16,random,4,96.0,131.0,136.1976161040214
1,3,5,2,uniform,16,random,5,134.0,222.0,210.9576856713255
1,3,5,2,uniform,16,random,6,139.0,180.0,193.8594352088016
1,3,5,2,uniform,16,random,7,128.0,194.0,195.91718614485347
1,3,5,2,uniform,16,random,8,176.0,240.0,252.8813771977281
1,3,5,2,uniform,16,random,9,147.0,217.0,198.48992478043368
1,3,5,2,uniform,16,random,10,171.0,223.0,180.8497914171625
1,3,5,2,uniform,16,random,11,128.0,175.0,191.9626658271011
1,3,5,2,uniform,16,random,12,143.0,180.0,203.3996350056031
1,3,5,2,uniform,16,random,13,127.0,175.0,171.00247481294832
1,3,5,2,uniform,16,random,14,124.0,174.0,170.63456018691429
1,3,5,2,uniform,16,random,15,166.0,222.0,225.05403255650597
1,3,5,2,uniform,16,random,16,155.0,218.0,257.8457084628053
1,3,5,2,uniform,16,random,17,142.0,222.0,233.90831574109853
1,3,5,2,uniform,16,random,18,142.0,161.0,170.39094647065497
1,3,5,2,uniform,16,random,19,162.0,178.0,169.3069938794225
1,3,5,2,uniform,16,random,20,115.0,166.0,164.35177198203937
1,3,5,2,uniform,16,random,21,101.0,174.0,171.89532154487628
1,3,5,2,uniform,16,random,22,156.0,194.0,194.9533466944929
1,3,5,2,uniform,16,random,23,104.0,160.0,145.26810150535638
1,3,5,2,uniform,16,random,24,128.0,203.0,193.629252658471
1,3,5,2,uniform,16,random,25,132.0,203.0,231.31119226374315
1,3,5,2,uniform,16,random,26,133.0,209.0,199.8492236061325
1,3,5,2,uniform,16,random,27,133.0,142.0,144.08126215435308
1,3,5,2,uniform,16,random,28,131.0,232.0,213.8985980184173
1,3,5,2,uniform,16,random,29,128.0,190.0,190.39414508179476
1,3,5,2,uniform,16,random,30,151.0,199.0,194.03449629976902
1,3,5,2,uniform,16,random,31,94.0,123.0,121.26275823486608
1,3,5,2,uniform,16,random,32,126.0,170.0,153.08489004883853
1,3,5,2,uniform,16,random,33,123.0,163.0,184.87022440143446
1,3,5,2,uniform,16,random,34,132.0,165.0,149.8507811303434
1,3,5,2,uniform,16,random,35,162.0,257.0,257.4561640176558
1,3,5,2,uniform,16,random,36,141.0,217.0,217.18867492799984
1,3,5,2,uniform,16,random,37,132.0,175.0,194.40080559701104
1,3,5,2,uniform,16,random,38,124.0,180.0,160.2329126390105
1,3,5,2,uniform,16,random,39,134.0,160.0,170.71203066723132
1,3,5,2,uniform,16,random,40,156.0,203.0,226.98239749451554
1,3,5,2,uniform,16,random,41,138.0,200.0,194.4960565214682
1,3,5,2,uniform,16,random,42,137.0,194.0,168.3023809715282
1,3,5,2,uniform,16,random,43,157.0,195.0,199.3561851395961
1,3,5,2,uniform,16,random,44,133.0,215.0,217.48415643421092
1,3,5,2,uniform,16,random,45,124.0,184.0,182.85219150079243
1,3,5,2,uniform,16,random,46,152.0,218.0,215.87819903476287
1,3,5,2,uniform,16,random,47,181.0,171.0,243.42810168297103
1,3,5,2,uniform,16,random,48,128.0,160.0,181.80557466861137
1,3,5,2,uniform,16,random,49,124.0,183.0,134.2461839326645
1,3,5,2,uniform,16,random,50,158.0,203.0,220.748010376053
1,3,5,2,uniform,16,random,51,133.0,195.0,215.2228139120262
1,3,5,2,uniform,16,random,52,104.0,160.0,163.09423264832844
1,3,5,2,uniform,16,random,53,109.0,151.0,144.52604519507202
1,3,5,2,uniform,16,random,54,179.0,237.0,221.97893489093855
1,3,5,2,uniform,16,random,55,147.0,170.0,220.25226247054806
1,3,5,2,uniform,16,random,56,138.0,214.0,201.56099504178286
1,3,5,2,uniform,16,random,57,152.0,193.0,193.49584640644852
1,3,5,2,uniform,16,random,58,137.0,214.0,211.78296499779395
1,3,5,2,uniform,16,random,59,142.0,166.0,205.5586969938567
1,3,5,2,uniform,16,random,60,118.0,142.0,142.6144950496981
1,3,5,2,uniform,16,random,61,118.0,190.0,195.25142108148455
1,3,5,2,uniform,16,random,62,133.0,189.0,180.22769041776743
1,3,5,2,uniform,16,random,63,123.0,124.0,125.83116318123821
1,3,5,2,uniform,16,random,64,133.0,176.0,154.20516564442877
1,3,5,2,uniform,16,random,65,148.0,173.0,194.79285908910344
1,3,5,2,uniform,16,random,66,117.0,147.0,184.08955950940555
1,3,5,2,uniform,16,random,67,142.0,195.0,206.6551710109722
1,3,5,2,uniform,16,random,68,128.0,156.0,149.6482762338919
1,3,5,2,uniform,16,random,69,148.0,238.0,202.86607061319336
1,3,5,2,uniform,16,random,70,181.0,213.0,212.38956379567054
1,3,5,2,uniform,16,random,71,144.0,239.0,248.80481198244314
1,3,5,2,uniform,16,random,72,95.0,118.0,125.53527484321995
1,3,5,2,uniform,16,random,73,132.0,193.0,196.67246709274838
1,3,5,2,uniform,16,random,74,122.0,209.0,220.0809110161161
1,3,5,2,uniform,16,random,75,109.0,146.0,147.34889629692398
1,3,5,2,uniform,16,random,76,164.0,203.0,229.6455465296439
1,3,5,2,uniform,16,random,77,113.0,152.0,161.70201957646864
1,3,5,2,uniform,16,random,78,124.0,204.0,232.1725446990698
1,3,5,2,uniform,16,random,79,118.0,189.0,178.16426470193844
1,3,5,2,uniform,16,random,80,147.0,204.0,178.46076240105646
1,3,5,2,uniform,16,random,81,147.0,203.0,196.31826097298577
1,3,5,2,uniform,16,random,82,119.0,184.0,191.41740641183753
1,3,5,2,uniform,16,random,83,147.0,179.0,189.3412559624844
1,3,5,2,uniform,16,random,84,148.0,237.0,234.92753014287675
1,3,5,2,uniform,16,random,85,115.0,186.0,185.18045305273438
1,3,5,2,uniform,16,random,86,147.0,204.0,231.29332649587465
1,3,5,2,uniform,16,random,87,114.0,181.0,182.45691920562854
1,3,5,2,uniform,16,random,88,131.0,208.0,198.18193519414996
1,3,5,2,uniform,16,random,89,138.0,248.0,239.3843912851101
1,3,5,2,uniform,16,random,90,100.0,179.0,186.22559993810893
1,3,5,2,uniform,16,random,91,167.0,213.0,232.51549289763992
1,3,5,2,uniform,16,random,92,152.0,246.0,257.24096255534084
1,3,5,2,uniform,16,random,93,143.0,198.0,191.33721689955914
1,3,5,2,uniform,16,random,94,148.0,161.0,165.01164819474863
1,3,5,2,uniform,16,random,95,151.0,218.0,218.1565376609193
1,3,5,2,uniform,16,random,96,119.0,171.0,159.18352160045035
1,3,5,2,uniform,16,random,97,123.0,184.0,180.7845369019583
1,3,5,2,uniform,16,random,98,161.0,189.0,182.87975065176613
1,3,5,2,uniform,16,random,99,133.0,186.0,138.78864853657151
1,3,5,2,uniform,16,random,100,117.0,194.0,216.2421677737711
1,3,5,2,uniform,16,random,101,147.0,179.0,209.54014375758842
1,3,5,2,uniform,16,random,102,142.0,200.0,225.96883480146388
1,3,5,2,uniform,16,random,103,129.0,240.0,228.38597387836361
1,3,5,2,uniform,16,random,104,152.0,232.0,200.52284019121294
1,3,5,2,uniform,16,random,105,156.0,203.0,199.98110302563396
1,3,5,2,uniform,16,random,106,121.0,180.0,173.10462096564208
1,3,5,2,uniform,16,random,107,142.0,180.0,193.833188072108
1,3,5,2,uniform,16,random,108,156.0,222.0,231.21692401510848
1,3,5,2,uniform,16,random,109,143.0,194.0,184.32163778036764
1,3,5,2,uniform,16,random,110,119.0,160.0,142.91757391570232
1,3,5,2,uniform,16,random,111,128.0,194.0,198.02244759908154
1,3,5,2,uniform,16,random,112,161.0,223.0,213.03854066883025
1,3,5,2,uniform,16,random,113,110.0,151.0,147.4805424958614
1,3,5,2,uniform,16,random,114,170.0,193.0,229.32251430066913
1,3,5,2,uniform,16,random,115,142.0,184.0,183.88702347643795
1,3,5,2,uniform,16,random,116,134.0,177.0,181.4583723024797
1,3,5,2,uniform,16,random,117,156.0,209.0,214.1544740361294
