config_id,F,n_amrs,n_elevators,demand,model,size,policy,makespan
1,3,5,2,uniform,batched,8,P0_random,123.0
1,3,5,2,uniform,batched,8,P0_random,108.0
1,3,5,2,uniform,batched,8,P0_random,86.0
1,3,5,2,uniform,batched,8,P0_random,76.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,128.0
1,3,5,2,uniform,batched,8,P0_random,108.0
1,3,5,2,uniform,batched,8,P0_random,110.0
1,3,5,2,uniform,batched,8,P0_random,100.0
1,3,5,2,uniform,batched,8,P0_random,100.0
1,3,5,2,uniform,batched,8,P0_random,123.0
1,3,5,2,uniform,batched,8,P0_random,123.0
1,3,5,2,uniform,batched,8,P0_random,137.0
1,3,5,2,uniform,batched,8,P0_random,76.0
1,3,5,2,uniform,batched,8,P0_random,148.0
1,3,5,2,uniform,batched,8,P0_random,119.0
1,3,5,2,uniform,batched,8,P0_random,113.0
1,3,5,2,uniform,batched,8,P0_random,114.0
1,3,5,2,uniform,batched,8,P0_random,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,128.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,113.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,99.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,110.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,96.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,129.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,90.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,127.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,81.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,80.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,118.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,95.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,94.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,61.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,123.0
1,3,5,2,uniform,batched,8,P2_cardinality,71.0
1,3,5,2,uniform,batched,8,P2_cardinality,119.0
1,3,5,2,uniform,batched,8,P2_cardinality,95.0
1,3,5,2,uniform,batched,8,P2_cardinality,100.0
1,3,5,2,uniform,batched,8,P2_cardinality,76.0
1,3,5,2,uniform,batched,8,P2_cardinality,109.0
1,3,5,2,uniform,batched,8,P2_cardinality,90.0
1,3,5,2,uniform,batched,8,P2_cardinality,104.0
1,3,5,2,uniform,batched,8,P2_cardinality,81.0
1,3,5,2,uniform,batched,8,P2_cardinality,85.0
1,3,5,2,uniform,batched,8,P2_cardinality,104.0
1,3,5,2,uniform,batched,8,P2_cardinality,95.0
1,3,5,2,uniform,batched,8,P2_cardinality,85.0
1,3,5,2,uniform,batched,8,P2_cardinality,119.0
1,3,5,2,uniform,batched,8,P2_cardinality,113.0
1,3,5,2,uniform,batched,8,P2_cardinality,104.0
1,3,5,2,uniform,batched,8,P2_cardinality,123.0
1,3,5,2,uniform,batched,8,P2_cardinality,76.0
1,3,5,2,uniform,batched,8,P2_cardinality,115.0
1,3,5,2,uniform,batched,8,P2_cardinality,114.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,108.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,71.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,94.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,99.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,114.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,104.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,95.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,153.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,128.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,95.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,100.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,118.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,96.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,113.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,90.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,90.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,95.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,147.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,124.0
1,3,5,2,uniform,batched,8,P3_dir_balanced,109.0
1,3,5,2,uniform,batched,8,P4_temporal,109.0
1,3,5,2,uniform,batched,8,P4_temporal,100.0
1,3,5,2,uniform,batched,8,P4_temporal,105.0
1,3,5,2,uniform,batched,8,P4_temporal,147.0
1,3,5,2,uniform,batched,8,P4_temporal,123.0
1,3,5,2,uniform,batched,8,P4_temporal,105.0
1,3,5,2,uniform,batched,8,P4_temporal,114.0
1,3,5,2,uniform,batched,8,P4_temporal,85.0
1,3,5,2,uniform,batched,8,P4_temporal,70.0
1,3,5,2,uniform,batched,8,P4_temporal,123.0
1,3,5,2,uniform,batched,8,P4_temporal,62.0
1,3,5,2,uniform,batched,8,P4_temporal,108.0
1,3,5,2,uniform,batched,8,P4_temporal,113.0
1,3,5,2,uniform,batched,8,P4_temporal,90.0
1,3,5,2,uniform,batched,8,P4_temporal,118.0
1,3,5,2,uniform,batched,8,P4_temporal,148.0
1,3,5,2,uniform,batched,8,P4_temporal,72.0
1,3,5,2,uniform,batched,8,P4_temporal,147.0
1,3,5,2,uniform,batched,8,P4_temporal,85.0
1,3,5,2,uniform,batched,8,P4_temporal,94.0
1,3,5,2,uniform,batched,8,P5_phi,80.0
1,3,5,2,uniform,batched,8,P5_phi,81.0
1,3,5,2,uniform,batched,8,P5_phi,104.0
1,3,5,2,uniform,batched,8,P5_phi,104.0
1,3,5,2,uniform,batched,8,P5_phi,100.0
1,3,5,2,uniform,batched,8,P5_phi,94.0
1,3,5,2,uniform,batched,8,P5_phi,99.0
1,3,5,2,uniform,batched,8,P5_phi,99.0
1,3,5,2,uniform,batched,8,P5_phi,71.0
1,3,5,2,uniform,batched,8,P5_phi,76.0
1,3,5,2,uniform,batched,8,P5_phi,52.0
1,3,5,2,uniform,batched,8,P5_phi,61.0
1,3,5,2,uniform,batched,8,P5_phi,76.0
1,3,5,2,uniform,batched,8,P5_phi,89.0
1,3,5,2,uniform,batched,8,P5_phi,99.0
1,3,5,2,uniform,batched,8,P5_phi,61.0
1,3,5,2,uniform,batched,8,P5_phi,104.0
1,3,5,2,uniform,batched,8,P5_phi,76.0
1,3,5,2,uniform,batched,8,P5_phi,61.0
1,3,5,2,uniform,batched,8,P5_phi,81.0
1,3,5,2,uniform,batched,8,P6_spo_tree,66.0
1,3,5,2,uniform,batched,8,P6_spo_tree,67.0
1,3,5,2,uniform,batched,8,P6_spo_tree,94.0
1,3,5,2,uniform,batched,8,P6_spo_tree,128.0
1,3,5,2,uniform,batched,8,P6_spo_tree,90.0
1,3,5,2,uniform,batched,8,P6_spo_tree,99.0
1,3,5,2,uniform,batched,8,P6_spo_tree,70.0
1,3,5,2,uniform,batched,8,P6_spo_tree,104.0
1,3,5,2,uniform,batched,8,P6_spo_tree,52.0
1,3,5,2,uniform,batched,8,P6_spo_tree,71.0
1,3,5,2,uniform,batched,8,P6_spo_tree,118.0
1,3,5,2,uniform,batched,8,P6_spo_tree,76.0
1,3,5,2,uniform,batched,8,P6_spo_tree,119.0
1,3,5,2,uniform,batched,8,P6_spo_tree,123.0
1,3,5,2,uniform,batched,8,P6_spo_tree,118.0
1,3,5,2,uniform,batched,8,P6_spo_tree,90.0
1,3,5,2,uniform,batched,8,P6_spo_tree,104.0
1,3,5,2,uniform,batched,8,P6_spo_tree,105.0
1,3,5,2,uniform,batched,8,P6_spo_tree,76.0
1,3,5,2,uniform,batched,8,P6_spo_tree,124.0
3,3,15,2,clustered,batched,8,P0_random,81.0
3,3,15,2,clustered,batched,8,P0_random,143.0
3,3,15,2,clustered,batched,8,P0_random,152.0
3,3,15,2,clustered,batched,8,P0_random,114.0
3,3,15,2,clustered,batched,8,P0_random,90.0
3,3,15,2,clustered,batched,8,P0_random,109.0
3,3,15,2,clustered,batched,8,P0_random,110.0
3,3,15,2,clustered,batched,8,P0_random,66.0
3,3,15,2,clustered,batched,8,P0_random,70.0
3,3,15,2,clustered,batched,8,P0_random,95.0
3,3,15,2,clustered,batched,8,P0_random,133.0
3,3,15,2,clustered,batched,8,P0_random,100.0
3,3,15,2,clustered,batched,8,P0_random,81.0
3,3,15,2,clustered,batched,8,P0_random,90.0
3,3,15,2,clustered,batched,8,P0_random,138.0
3,3,15,2,clustered,batched,8,P0_random,124.0
3,3,15,2,clustered,batched,8,P0_random,114.0
3,3,15,2,clustered,batched,8,P0_random,133.0
3,3,15,2,clustered,batched,8,P0_random,128.0
3,3,15,2,clustered,batched,8,P0_random,157.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,133.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,66.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,95.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,90.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,95.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,157.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,90.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,100.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,157.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,90.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,76.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,95.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,90.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,157.0
3,3,15,2,clustered,batched,8,P1_dest_cluster,114.0
3,3,15,2,clustered,batched,8,P2_cardinality,100.0
3,3,15,2,clustered,batched,8,P2_cardinality,76.0
3,3,15,2,clustered,batched,8,P2_cardinality,81.0
3,3,15,2,clustered,batched,8,P2_cardinality,124.0
3,3,15,2,clustered,batched,8,P2_cardinality,95.0
3,3,15,2,clustered,batched,8,P2_cardinality,110.0
3,3,15,2,clustered,batched,8,P2_cardinality,62.0
3,3,15,2,clustered,batched,8,P2_cardinality,76.0
3,3,15,2,clustered,batched,8,P2_cardinality,95.0
3,3,15,2,clustered,batched,8,P2_cardinality,119.0
3,3,15,2,clustered,batched,8,P2_cardinality,81.0
