config_id,F,n_amrs,n_elevators,demand,size,arm,ops_policy,wave_id,makespan
1,3,5,2,uniform,8,random,fifo,0,109.0
1,3,5,2,uniform,8,random,fifo,1,80.0
1,3,5,2,uniform,8,random,fifo,2,143.0
1,3,5,2,uniform,8,random,fifo,3,109.0
1,3,5,2,uniform,8,random,fifo,4,100.0
1,3,5,2,uniform,8,random,fifo,5,76.0
1,3,5,2,uniform,8,random,fifo,6,81.0
1,3,5,2,uniform,8,random,fifo,7,112.0
1,3,5,2,uniform,8,random,fifo,8,90.0
1,3,5,2,uniform,8,random,fifo,9,71.0
1,3,5,2,uniform,8,random,fifo,10,119.0
1,3,5,2,uniform,8,random,fifo,11,114.0
1,3,5,2,uniform,8,random,fifo,12,113.0
1,3,5,2,uniform,8,random,fifo,13,118.0
1,3,5,2,uniform,8,random,fifo,14,109.0
1,3,5,2,uniform,8,random,fifo,15,113.0
1,3,5,2,uniform,8,random,fifo,16,109.0
1,3,5,2,uniform,8,random,fifo,17,100.0
1,3,5,2,uniform,8,random,fifo,18,118.0
1,3,5,2,uniform,8,random,fifo,19,100.0
1,3,5,2,uniform,8,random,fifo,20,71.0
1,3,5,2,uniform,8,random,fifo,21,99.0
1,3,5,2,uniform,8,random,fifo,22,113.0
1,3,5,2,uniform,8,random,fifo,23,81.0
1,3,5,2,uniform,8,random,fifo,24,80.0
1,3,5,2,uniform,8,random,fifo,25,132.0
1,3,5,2,uniform,8,random,fifo,26,123.0
1,3,5,2,uniform,8,random,fifo,27,112.0
1,3,5,2,uniform,8,random,fifo,28,114.0
1,3,5,2,uniform,8,random,fifo,29,85.0
1,3,5,2,uniform,8,random,fifo,30,142.0
1,3,5,2,uniform,8,random,fifo,31,114.0
1,3,5,2,uniform,8,random,fifo,32,113.0
1,3,5,2,uniform,8,random,fifo,33,76.0
1,3,5,2,uniform,8,random,fifo,34,147.0
1,3,5,2,uniform,8,random,fifo,35,95.0
1,3,5,2,uniform,8,random,fifo,36,80.0
1,3,5,2,uniform,8,random,fifo,37,128.0
1,3,5,2,uniform,8,random,fifo,38,108.0
1,3,5,2,uniform,8,random,fifo,39,118.0
1,3,5,2,uniform,8,random,fifo,40,103.0
1,3,5,2,uniform,8,random,fifo,41,93.0
1,3,5,2,uniform,8,random,fifo,42,89.0
1,3,5,2,uniform,8,random,fifo,43,113.0
1,3,5,2,uniform,8,random,fifo,44,123.0
1,3,5,2,uniform,8,random,fifo,45,99.0
1,3,5,2,uniform,8,random,fifo,46,66.0
1,3,5,2,uniform,8,random,fifo,47,100.0
1,3,5,2,uniform,8,random,fifo,48,85.0
1,3,5,2,uniform,8,random,fifo,49,81.0
1,3,5,2,uniform,8,random,fifo,50,71.0
1,3,5,2,uniform,8,random,fifo,51,85.0
1,3,5,2,uniform,8,random,fifo,52,109.0
1,3,5,2,uniform,8,random,fifo,53,119.0
1,3,5,2,uniform,8,random,fifo,54,133.0
1,3,5,2,uniform,8,random,fifo,55,99.0
1,3,5,2,uniform,8,random,fifo,56,105.0
1,3,5,2,uniform,8,random,fifo,57,119.0
1,3,5,2,uniform,8,random,fifo,58,129.0
1,3,5,2,uniform,8,random,fifo,59,105.0
1,3,5,2,uniform,8,random,fifo,60,76.0
1,3,5,2,uniform,8,random,fifo,61,109.0
1,3,5,2,uniform,8,random,fifo,62,95.0
1,3,5,2,uniform,8,random,fifo,63,128.0
1,3,5,2,uniform,8,random,fifo,64,138.0
1,3,5,2,uniform,8,random,fifo,65,128.0
1,3,5,2,uniform,8,random,fifo,66,133.0
1,3,5,2,uniform,8,random,fifo,67,76.0
1,3,5,2,uniform,8,random,fifo,68,85.0
1,3,5,2,uniform,8,random,fifo,69,137.0
1,3,5,2,uniform,8,random,fifo,70,38.0
1,3,5,2,uniform,8,random,fifo,71,109.0
1,3,5,2,uniform,8,random,fifo,72,94.0
1,3,5,2,uniform,8,random,fifo,73,90.0
1,3,5,2,uniform,8,random,fifo,74,132.0
1,3,5,2,uniform,8,random,fifo,75,119.0
1,3,5,2,uniform,8,random,fifo,76,123.0
1,3,5,2,uniform,8,random,fifo,77,81.0
1,3,5,2,uniform,8,random,fifo,78,95.0
1,3,5,2,uniform,8,random,fifo,79,119.0
1,3,5,2,uniform,8,random,fifo,80,99.0
1,3,5,2,uniform,8,random,fifo,81,86.0
1,3,5,2,uniform,8,random,fifo,82,85.0
1,3,5,2,uniform,8,random,fifo,83,128.0
1,3,5,2,uniform,8,random,fifo,84,99.0
1,3,5,2,uniform,8,random,fifo,85,103.0
1,3,5,2,uniform,8,random,fifo,86,137.0
1,3,5,2,uniform,8,random,fifo,87,76.0
1,3,5,2,uniform,8,random,fifo,88,95.0
1,3,5,2,uniform,8,random,fifo,89,96.0
1,3,5,2,uniform,8,random,fifo,90,95.0
1,3,5,2,uniform,8,random,fifo,91,132.0
1,3,5,2,uniform,8,random,fifo,92,95.0
1,3,5,2,uniform,8,random,fifo,93,89.0
1,3,5,2,uniform,8,random,fifo,94,118.0
1,3,5,2,uniform,8,random,fifo,95,104.0
1,3,5,2,uniform,8,random,fifo,96,76.0
1,3,5,2,uniform,8,random,fifo,97,103.0
1,3,5,2,uniform,8,random,fifo,98,114.0
1,3,5,2,uniform,8,random,fifo,99,134.0
1,3,5,2,uniform,8,random,fifo,100,65.0
1,3,5,2,uniform,8,random,fifo,101,95.0
1,3,5,2,uniform,8,random,fifo,102,66.0
1,3,5,2,uniform,8,random,fifo,103,128.0
1,3,5,2,uniform,8,random,fifo,104,95.0
1,3,5,2,uniform,8,random,fifo,105,94.0
1,3,5,2,uniform,8,random,fifo,106,90.0
1,3,5,2,uniform,8,random,fifo,107,90.0
1,3,5,2,uniform,8,random,fifo,108,114.0
1,3,5,2,uniform,8,random,fifo,109,66.0
1,3,5,2,uniform,8,random,fifo,110,124.0
1,3,5,2,uniform,8,random,fifo,111,118.0
1,3,5,2,uniform,8,random,fifo,112,118.0
1,3,5,2,uniform,8,random,fifo,113,118.0
1,3,5,2,uniform,8,random,fifo,114,138.0
1,3,5,2,uniform,8,random,fifo,115,86.0
1,3,5,2,uniform,8,random,fifo,116,100.0
1,3,5,2,uniform,8,random,fifo,117,128.0
1,3,5,2,uniform,8,random,fifo,118,85.0
1,3,5,2,uniform,8,random,fifo,119,109.0
1,3,5,2,uniform,8,random,fifo,120,71.0
1,3,5,2,uniform,8,random,fifo,121,119.0
1,3,5,2,uniform,8,random,fifo,122,57.0
1,3,5,2,uniform,8,random,fifo,123,109.0
1,3,5,2,uniform,8,random,fifo,124,113.0
1,3,5,2,uniform,8,random,fifo,125,123.0
1,3,5,2,uniform,8,random,fifo,126,85.0
1,3,5,2,uniform,8,random,fifo,127,119.0
1,3,5,2,uniform,8,random,fifo,128,90.0
1,3,5,2,uniform,8,random,fifo,129,129.0
1,3,5,2,uniform,8,random,fifo,130,128.0
1,3,5,2,uniform,8,random,fifo,131,100.0
1,3,5,2,uniform,8,random,fifo,132,99.0
1,3,5,2,uniform,8,random,fifo,133,80.0
1,3,5,2,uniform,8,random,fifo,134,119.0
1,3,5,2,uniform,8,random,fifo,135,85.0
1,3,5,2,uniform,8,random,fifo,136,104.0
1,3,5,2,uniform,8,random,fifo,137,86.0
1,3,5,2,uniform,8,random,fifo,138,90.0
1,3,5,2,uniform,8,random,fifo,139,71.0
1,3,5,2,uniform,8,random,fifo,140,119.0
1,3,5,2,uniform,8,random,fifo,141,71.0
1,3,5,2,uniform,8,random,fifo,142,100.0
1,3,5,2,uniform,8,random,fifo,143,123.0
1,3,5,2,uniform,8,random,fifo,144,90.0
1,3,5,2,uniform,8,random,fifo,145,94.0
1,3,5,2,uniform,8,random,fifo,146,108.0
1,3,5,2,uniform,8,random,fifo,147,114.0
1,3,5,2,uniform,8,random,fifo,148,110.0
1,3,5,2,uniform,8,random,fifo,149,71.0
1,3,5,2,uniform,8,random,fifo,150,162.0
1,3,5,2,uniform,8,random,fifo,151,62.0
1,3,5,2,uniform,8,random,fifo,152,71.0
1,3,5,2,uniform,8,random,fifo,153,90.0
1,3,5,2,uniform,8,random,fifo,154,110.0
1,3,5,2,uniform,8,random,fifo,155,138.0
1,3,5,2,uniform,8,random,fifo,156,71.0
1,3,5,2,uniform,8,random,fifo,157,127.0
1,3,5,2,uniform,8,random,fifo,158,109.0
1,3,5,2,uniform,8,random,fifo,159,104.0
1,3,5,2,uniform,8,random,fifo,160,76.0
1,3,5,2,uniform,8,random,fifo,161,90.0
1,3,5,2,uniform,8,random,fifo,162,86.0
1,3,5,2,uniform,8,random,fifo,163,72.0
1,3,5,2,uniform,8,random,fifo,164,99.0
1,3,5,2,uniform,8,random,fifo,165,90.0
1,3,5,2,uniform,8,random,fifo,166,124.0
1,3,5,2,uniform,8,random,fifo,167,62.0
1,3,5,2,uniform,8,random,fifo,168,132.0
1,3,5,2,uniform,8,random,fifo,169,104.0
1,3,5,2,uniform,8,random,fifo,170,100.0
1,3,5,2,uniform,8,random,fifo,171,123.0
1,3,5,2,uniform,8,random,fifo,172,90.0
1,3,5,2,uniform,8,random,fifo,173,109.0
1,3,5,2,uniform,8,random,fifo,174,86.0
1,3,5,2,uniform,8,random,fifo,175,119.0
1,3,5,2,uniform,8,random,fifo,176,113.0
1,3,5,2,uniform,8,random,fifo,177,95.0
1,3,5,2,uniform,8,random,fifo,178,76.0
1,3,5,2,uniform,8,random,fifo,179,147.0
1,3,5,2,uniform,8,random,fifo,180,57.0
1,3,5,2,uniform,8,random,fifo,181,85.0
1,3,5,2,uniform,8,random,fifo,182,142.0
1,3,5,2,uniform,8,random,fifo,183,148.0
1,3,5,2,uniform,8,random,fifo,184,105.0
1,3,5,2,uniform,8,random,fifo,185,109.0
1,3,5,2,uniform,8,random,fifo,186,129.0
1,3,5,2,uniform,8,random,fifo,187,80.0
1,3,5,2,uniform,8,random,fifo,188,71.0
1,3,5,2,uniform,8,random,fifo,189,95.0
1,3,5,2,uniform,8,random,fifo,190,105.0
1,3,5,2,uniform,8,random,fifo,191,137.0
1,3,5,2,uniform,8,random,fifo,192,76.0
1,3,5,2,uniform,8,random,fifo,193,109.0
1,3,5,2,uniform,8,random,fifo,194,85.0
1,3,5,2,uniform,8,random,fifo,195,147.0
1,3,5,2,uniform,8,random,fifo,196,99.0
1,3,5,2,uniform,8,random,fifo,197,99.0
1,3,5,2,uniform,8,random,fifo,198,85.0
1,3,5,2,uniform,8,random,fifo,199,76.0
1,3,5,2,uniform,8,random,cluster,0,118.0
1,3,5,2,uniform,8,random,cluster,1,100.0
1,3,5,2,uniform,8,random,cluster,2,109.0
1,3,5,2,uniform,8,random,cluster,3,90.0
1,3,5,2,uniform,8,random,cluster,4,104.0
1,3,5,2,uniform,8,random,cluster,5,65.0
1,3,5,2,uniform,8,random,cluster,6,71.0
1,3,5,2,uniform,8,random,cluster,7,71.0
1,3,5,2,uniform,8,random,cluster,8,81.0
1,3,5,2,uniform,8,random,cluster,9,66.0
1,3,5,2,uniform,8,random,cluster,10,114.0
1,3,5,2,uniform,8,random,cluster,11,100.0
1,3,5,2,uniform,8,random,cluster,12,99.0
1,3,5,2,uniform,8,random,cluster,13,81.0
1,3,5,2,uniform,8,random,cluster,14,61.0
1,3,5,2,uniform,8,random,cluster,15,104.0
1,3,5,2,uniform,8,random,cluster,16,109.0
1,3,5,2,uniform,8,random,cluster,17,109.0
1,3,5,2,uniform,8,random,cluster,18,66.0
1,3,5,2,uniform,8,random,cluster,19,110.0
1,3,5,2,uniform,8,random,cluster,20,80.0
1,3,5,2,uniform,8,random,cluster,21,85.0
1,3,5,2,uniform,8,random,cluster,22,85.0
1,3,5,2,uniform,8,random,cluster,23,81.0
1,3,5,2,uniform,8,random,cluster,24,100.0
1,3,5,2,uniform,8,random,cluster,25,134.0
1,3,5,2,uniform,8,random,cluster,26,85.0
1,3,5,2,uniform,8,random,cluster,27,71.0
1,3,5,2,uniform,8,random,cluster,28,80.0
1,3,5,2,uniform,8,random,cluster,29,99.0
1,3,5,2,uniform,8,random,cluster,30,75.0
1,3,5,2,uniform,8,random,cluster,31,86.0
1,3,5,2,uniform,8,random,cluster,32,95.0
1,3,5,2,uniform,8,random,cluster,33,61.0
1,3,5,2,uniform,8,random,cluster,34,109.0
1,3,5,2,uniform,8,random,cluster,35,66.0
1,3,5,2,uniform,8,random,cluster,36,47.0
1,3,5,2,uniform,8,random,cluster,37,114.0
1,3,5,2,uniform,8,random,cluster,38,85.0
1,3,5,2,uniform,8,random,cluster,39,86.0
1,3,5,2,uniform,8,random,cluster,40,99.0
1,3,5,2,uniform,8,random,cluster,41,114.0
1,3,5,2,uniform,8,random,cluster,42,71.0
1,3,5,2,uniform,8,random,cluster,43,90.0
1,3,5,2,uniform,8,random,cluster,44,90.0
1,3,5,2,uniform,8,random,cluster,45,81.0
1,3,5,2,uniform,8,random,cluster,46,95.0
1,3,5,2,uniform,8,random,cluster,47,76.0
1,3,5,2,uniform,8,random,cluster,48,80.0
1,3,5,2,uniform,8,random,cluster,49,90.0
1,3,5,2,uniform,8,random,cluster,50,71.0
1,3,5,2,uniform,8,random,cluster,51,114.0
1,3,5,2,uniform,8,random,cluster,52,104.0
1,3,5,2,uniform,8,random,cluster,53,90.0
1,3,5,2,uniform,8,random,cluster,54,95.0
1,3,5,2,uniform,8,random,cluster,55,104.0
1,3,5,2,uniform,8,random,cluster,56,99.0
1,3,5,2,uniform,8,random,cluster,57,85.0
1,3,5,2,uniform,8,random,cluster,58,95.0
1,3,5,2,uniform,8,random,cluster,59,85.0
1,3,5,2,uniform,8,random,cluster,60,85.0
1,3,5,2,uniform,8,random,cluster,61,80.0
1,3,5,2,uniform,8,random,cluster,62,95.0
1,3,5,2,uniform,8,random,cluster,63,118.0
1,3,5,2,uniform,8,random,cluster,64,90.0
1,3,5,2,uniform,8,random,cluster,65,100.0
1,3,5,2,uniform,8,random,cluster,66,95.0
1,3,5,2,uniform,8,random,cluster,67,61.0
1,3,5,2,uniform,8,random,cluster,68,95.0
1,3,5,2,uniform,8,random,cluster,69,133.0
1,3,5,2,uniform,8,random,cluster,70,38.0
1,3,5,2,uniform,8,random,cluster,71,71.0
1,3,5,2,uniform,8,random,cluster,72,85.0
1,3,5,2,uniform,8,random,cluster,73,85.0
1,3,5,2,uniform,8,random,cluster,74,76.0
1,3,5,2,uniform,8,random,cluster,75,104.0
1,3,5,2,uniform,8,random,cluster,76,138.0
1,3,5,2,uniform,8,random,cluster,77,90.0
1,3,5,2,uniform,8,random,cluster,78,100.0
1,3,5,2,uniform,8,random,cluster,79,84.0
1,3,5,2,uniform,8,random,cluster,80,75.0
1,3,5,2,uniform,8,random,cluster,81,100.0
1,3,5,2,uniform,8,random,cluster,82,95.0
1,3,5,2,uniform,8,random,cluster,83,80.0
1,3,5,2,uniform,8,random,cluster,84,118.0
1,3,5,2,uniform,8,random,cluster,85,109.0
1,3,5,2,uniform,8,random,cluster,86,128.0
1,3,5,2,uniform,8,random,cluster,87,91.0
1,3,5,2,uniform,8,random,cluster,88,66.0
1,3,5,2,uniform,8,random,cluster,89,111.0
1,3,5,2,uniform,8,random,cluster,90,91.0
1,3,5,2,uniform,8,random,cluster,91,104.0
1,3,5,2,uniform,8,random,cluster,92,71.0
1,3,5,2,uniform,8,random,cluster,93,118.0
1,3,5,2,uniform,8,random,cluster,94,138.0
1,3,5,2,uniform,8,random,cluster,95,71.0
1,3,5,2,uniform,8,random,cluster,96,76.0
1,3,5,2,uniform,8,random,cluster,97,94.0
1,3,5,2,uniform,8,random,cluster,98,105.0
1,3,5,2,uniform,8,random,cluster,99,76.0
1,3,5,2,uniform,8,random,cluster,100,53.0
1,3,5,2,uniform,8,random,cluster,101,67.0
1,3,5,2,uniform,8,random,cluster,102,71.0
1,3,5,2,uniform,8,random,cluster,103,123.0
1,3,5,2,uniform,8,random,cluster,104,80.0
1,3,5,2,uniform,8,random,cluster,105,90.0
1,3,5,2,uniform,8,random,cluster,106,66.0
1,3,5,2,uniform,8,random,cluster,107,71.0
1,3,5,2,uniform,8,random,cluster,108,105.0
1,3,5,2,uniform,8,random,cluster,109,66.0
1,3,5,2,uniform,8,random,cluster,110,109.0
1,3,5,2,uniform,8,random,cluster,111,134.0
